Name,Ticker,Sector,Sub-Sector, Market Cap , Close Price ,PE Ratio,Common Shares Outstanding
SRF Ltd,DRREDDY.NS,Health Care,Textiles,72624.63,2450.05,38.44770198,30.1326025
Indusind Bank Ltd,SBICARD.NS,Financials,Private Banks,72532.43,936.20,15.0963617,77.3372299
Dr Reddy's Laboratories Ltd,NYKAA.NS,Industrials,Pharmaceuticals,72527.00,4370.30,33.23115607,16.6301431
Bharat Petroleum Corporation Ltd,INDUSINDBK.NS,Financials,Oil & Gas - Refining & Marketing,71175.92,329.15,6.093045921,209.2913412
Interglobe Aviation Ltd,GAIL.NS,Utilities,Airlines,69688.73,1808.90,-11.30972695,38.491
Marico Ltd,SRF.NS,Consumer Discretionary,FMCG - Personal Products,69197.91,535.85,56.48809143,129.1018088
Tata Consumer Products Ltd,MARICO.NS,Consumer Staple,Tea & Coffee,69130.20,750.15,69.15994068,92.1551715
Fsn E-Commerce Ventures Ltd,TATACONSUM.NS,Consumer Staple,Business Support Services,66457.46,1401.45,1617.757141,4.5171711
GAIL (India) Ltd,INDIGO.NS,Industrials,Gas Distribution,63830.54,143.75,5.208075477,444.0385225
ICICI Lombard General Insurance Company Ltd,ICICIGI.NS,Financials,Insurance,63348.78,1290.30,49.84129169,45.4594504
Hindustan Aeronautics Ltd,BERGEPAINT.NS,Materials,Aerospace & Defense Equipments,60922.06,1821.90,11.9924368,33.43875
United Spirits Ltd,UPL.NS,Materials,Alcoholic Beverages,59776.93,822.65,72.14208773,72.6638715
Berger Paints India Ltd,HAL.NS,Industrials,Paints,58784.50,605.20,70.58487735,97.1295037
UPL Ltd,MCDOWELL-N.NS,Consumer Staple,Fertilizers & Agro Chemicals,58738.80,782.55,16.19933837,76.4045456
Bharat Electronics Ltd,BEL.NS,Information Technology,Electronic Equipments,56200.02,230.65,23.88329327,243.6592943
Bajaj Holdings and Investment Ltd,BAJAJHLDNG.NS,Financials,Asset Management,56062.44,5037.35,13.82319026,11.129351
Apollo Hospitals Enterprise Ltd,INDUSTOWER.NS,Communication Services,Hospitals & Diagnostic Centres,55958.46,3891.95,53.01054092,14.3784657
Indian Railway Catering and Tourism Corporation Ltd,CHOLAFIN.NS,Financials,Online Services,55608.00,695.10,292.8278041,80
Cholamandalam Investment and Finance Company Ltd,IRCTC.NS,Communication Services,Consumer Finance,55564.69,676.60,25.80191801,82.0689629
Hero MotoCorp Ltd,APOLLOHOSP.NS,Health Care,Two Wheelers,55358.90,2770.55,23.89372661,19.9780217
Zomato Ltd,TATAELXSI.NS,Information Technology,Online Services,54315.33,71.05,-44.93697932,0.0351477
Indus Towers Ltd,HEROMOTOCO.NS,Consumer Discretionary,Telecom Infrastructure,54008.91,200.45,8.474511934,269.493695
Bandhan Bank Ltd,BANKBARODA.NS,Financials,Private Banks,52793.29,327.75,419.693893,161.0599201
Bank of Baroda Ltd,BANDHANBNK.NS,Financials,Public Banks,52515.18,101.55,6.894524957,518.5029679
ABB India Ltd,GLAND.NS,Health Care,Heavy Electrical Equipments,50556.04,2385.75,97.27740579,21.1908375
Tata Elxsi Ltd,JINDALSTEL.NS,Materials,Software Services,50298.81,8076.70,91.50895516,6.227644
Page Industries Ltd,ABB.NS,Industrials,Apparel & Accessories,50239.61,45042.30,93.63803308,1.1153874
MindTree Ltd,JSWENERGY.NS,Utilities,IT Services & Consulting,49573.61,3007.40,29.99190047,16.4833772
Info Edge (India) Ltd,MINDTREE.NS,Information Technology,Online Services,49050.46,3805.15,3.844212166,12.8523377
Torrent Pharmaceuticals Ltd,VBL.NS,Consumer Staple,Pharmaceuticals,48824.99,2885.25,62.8378189,16.922272
Mphasis Ltd,LODHA.NS,Real Estate,IT Services & Consulting,48591.07,2586.70,33.95887002,18.7112033
Gland Pharma Ltd,PAGEIND.NS,Consumer Discretionary,Pharmaceuticals,48055.52,2919.95,39.66089648,16.3592923
Varun Beverages Ltd,MUTHOOTFIN.NS,Financials,Soft Drinks,47103.17,1087.75,67.86614021,43.303308
JSW Energy Ltd,MPHASIS.NS,Information Technology,Power Generation,46640.44,284.45,26.98131402,163.967091
Macrotech Developers Ltd,PEL.NS,Financials,Real Estate,45099.57,936.45,37.50889403,39.5878
Muthoot Finance Ltd,TORNTPHARM.NS,Health Care,Consumer Finance,44952.68,1120.05,11.19166775,40.1195856
Balkrishna Industries Ltd,NAUKRI.NS,Communication Services,Tires & Rubber,44187.48,2285.75,30.7845147,19.331719
Colgate-Palmolive (India) Ltd,ZOMATO.NS,Communication Services,FMCG - Personal Products,43758.41,1608.85,40.58016983,27.1985634
Procter & Gamble Hygiene and Health Care Ltd,COLPAL.NS,Consumer Staple,FMCG - Personal Products,43412.83,13373.95,66.60554375,3.2460736
Bosch Ltd,NMDC.NS,Materials,Auto Parts,42579.23,14436.75,34.9870425,2.949364
Piramal Enterprises Ltd,PGHH.NS,Consumer Staple,Diversified Financials,42198.80,1777.35,21.94299706,22.5538356
One 97 Communications Ltd,ACC.NS,Materials,Online Services,41746.70,643.50,-17.44607068,6.0482404
ACC Ltd,BOSCHLTD.NS,Consumer Discretionary,Cement,41470.00,2208.35,22.25991563,18.837406
PI Industries Ltd,AUBANK.NS,Financials,Diversified Chemicals,41229.33,2718.50,48.86149134,15.1894693
Ashok Leyland Ltd,BALKRISIND.NS,Consumer Discretionary,Trucks & Buses,40891.89,139.30,-114.0288753,293.5527276
AU Small Finance Bank Ltd,BIOCON.NS,Health Care,Consumer Finance,40837.66,1296.05,36.14527842,31.221339
United Breweries Ltd,PIIND.NS,Materials,Alcoholic Beverages,40696.45,1539.20,111.3567778,26.4405149
Container Corporation of India Ltd,IDBI.NS,Financials,Logistics,40366.13,662.50,39.14404783,60.9294348
Biocon Ltd,GUJGASLTD.NS,Utilities,Biotechnology,39854.83,334.05,61.46642023,120
Trent Ltd,STARHEALTH.NS,Financials,Retail - Apparel,39775.49,1118.90,375.8432582,35.5487461
Jindal Steel And Power Ltd,UBL.NS,Consumer Staple,Iron & Steel,39472.31,386.95,9.838071111,102.0015971
HDFC Asset Management Company Ltd,TRENT.NS,Consumer Discretionary,Asset Management,39145.59,1835.30,28.09902252,21.2954202
Star Health and Allied Insurance Company Ltd,ASHOKLEY.NS,Industrials,Insurance,38663.58,671.80,-37.15258406,54.8086885
Zydus Lifesciences Ltd,POLYCAB.NS,Industrials,Pharmaceuticals,38656.52,377.60,8.704267091,102.37426
IDBI Bank Ltd,ABBOTINDIA.NS,Health Care,Public Banks,38654.89,35.95,15.49703963,1075.240218
Gujarat Gas Ltd,GODREJPROP.NS,Real Estate,Gas Distribution,38288.26,556.20,29.74145642,68.8390125
Abbott India Ltd,PAYTM.NS,Communication Services,Pharmaceuticals,38035.08,17899.45,47.62123685,2.1249302
Canara Bank Ltd,LTTS.NS,Information Technology,Public Banks,37915.32,209.00,6.580807475,164.673822
L&T Technology Services Ltd,ZYDUSLIFE.NS,Health Care,Software Services,37733.32,3575.35,39.42876067,10.5045823
Godrej Properties Ltd,HDFCAMC.NS,Financials,Real Estate,37718.81,1356.85,107.0431957,27.7943051
Jubilant Foodworks Ltd,MAXHEALTH.NS,Health Care,Restaurants & Cafes,37332.43,566.85,88.80428325,65.98452
Alkem Laboratories Ltd,ALKEM.NS,Health Care,Pharmaceuticals,36793.14,3077.25,22.35822342,11.9565
